instrument,sharpe,n,k,sma_len,entry_frac,exit_z
SP500,0.10035112371047065,200,1.5,20,1.0,-0.5
SP500,0.10445198199530602,200,1.5,20,1.0,0.0
SP500,0.14092422797728188,200,1.5,20,1.0,0.5
SP500,0.16745083240031194,200,1.5,50,0.7,-0.5
SP500,0.11080776199169728,200,1.5,50,0.7,0.0
SP500,0.1636267433703107,200,1.5,50,0.7,0.5
SP500,0.23259745539295024,200,1.5,50,0.9,-0.5
SP500,0.21809461633791208,200,1.5,50,0.9,0.0
SP500,0.2091091255487613,200,1.5,50,0.9,0.5
SP500,0.23924587557684648,200,1.5,50,1.0,-0.5
SP500,0.20921064925127703,200,1.5,50,1.0,0.0
SP500,0.2081028625861388,200,1.5,50,1.0,0.5
SP500,-0.13771512095595212,200,2.0,10,0.7,-0.5
SP500,-0.13414665225746347,200,2.0,10,0.7,0.0
SP500,-0.0771779800922804,200,2.0,10,0.7,0.5
SP500,-0.09310552180009733,200,2.0,10,0.9,-0.5
SP500,-0.09506166784482045,200,2.0,10,0.9,0.0
SP500,-0.02777434469810024,200,2.0,10,0.9,0.5
SP500,-0.22241501390052631,200,2.0,10,1.0,-0.5
SP500,-0.27402032354666234,200,2.0,10,1.0,0.0
SP500,-0.18742461184265927,200,2.0,10,1.0,0.5
SP500,0.18096782559381605,200,2.0,20,0.7,-0.5
