sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,outer,inner,bb_len
-0.8583763362417873,-0.10854512652516657,0.5442771216578127,246,0.6016260162601627,50.26829268292683,260,0.01010126403513153,-0.029480008179050415,0.01733200893230255,-1.4113857332797772,22777,NIFTY,2.0,0.3,100
-5.150158858024595,-0.403071484811293,0.4752601308337358,2566,0.5194855806703039,4.218628215120811,25,0.0018991166720467305,-0.007455068191671543,-2.86732043621078,-3.7932561202819395,22777,NIFTY,2.0,0.6,10
-3.0235435528548393,-0.2700676127137442,0.48447995785221937,1378,0.5551523947750363,8.005805515239478,46,0.003145212131518172,-0.010528311273606369,-1.524961905141771,-2.5228056249675315,22777,NIFTY,2.0,0.6,20
-1.4027464038265016,-0.14923315987031915,0.48210914519032355,577,0.5649913344887348,18.97053726169844,86,0.005805870134776341,-0.015523675351050684,-0.6699493926912838,-1.3337794564853513,22777,NIFTY,2.0,0.6,50
-0.8191437514277327,-0.09750922974235329,0.46898186767353034,292,0.6267123287671232,36.476027397260275,210,0.008257371744372936,-0.02513293553516554,-0.11486200308025715,-1.11352894103254,22777,NIFTY,2.0,0.6,100
-6.042305665331878,-0.4233105588209049,0.37520305571409757,2986,0.4956463496316142,2.8620227729403886,19,0.001382958784522734,-0.006082601542472319,-3.2756939327396988,-3.837924989129966,22777,NIFTY,2.0,1.0,10
-3.6230131613441268,-0.28132863660309737,0.3776177723141766,1634,0.5324357405140759,5.263769889840881,34,0.002287950092699654,-0.008180130122058874,-1.6922774310787863,-2.5668254015254943,22777,NIFTY,2.0,1.0,20
-1.94127177816123,-0.17816574519761497,0.37529086359046404,668,0.5523952095808383,12.744011976047904,63,0.004293742330868951,-0.013529609615028974,-0.9631284754287367,-1.4978338793742838,22777,NIFTY,2.0,1.0,50
-1.0022885056660362,-0.1069291845878775,0.3610659876190894,345,0.5768115942028985,23.747826086956522,100,0.0063484002250443075,-0.018132010713789875,-0.36116101761033864,-1.0227809018191656,22777,NIFTY,2.0,1.0,100
-7.660012182235095,-0.45685017667442446,0.2675066953505729,3669,0.3197056418642682,1.660670482420278,7,0.0006544928818233123,-0.00347428526309196,-3.7879838553192076,-4.116112010979579,22777,NIFTY,2.0,1.5,10
-4.9712272903883195,-0.32068561606007817,0.25811125257935635,2173,0.48550391164289003,2.705476300046019,15,0.0011022464828671058,-0.005509375275623372,-2.313583461531766,-2.6830280571903677,22777,NIFTY,2.0,1.5,20
-2.4615815066891265,-0.18219940125981965,0.2522281248628002,985,0.581725888324873,5.83248730964467,38,0.0022228084630145843,-0.009374320785413639,-1.0904656405213646,-1.4980852737616974,22777,NIFTY,2.0,1.5,50
-1.352631220582638,-0.11660901779306942,0.24094481274970364,504,0.5932539682539683,10.827380952380953,61,0.0032976755306704936,-0.012334343076461573,-0.613104325038778,-0.9294310219653668,22777,NIFTY,2.0,1.5,100
-3.935616356873964,-0.3592699604712696,0.5862931904991878,2055,0.5493917274939173,6.49683698296837,52,0.0028359626171861243,-0.00964221874386693,-2.3391870628471985,-3.387705699170443,22777,NIFTY,2.1,0.0,10
-2.36185206430238,-0.24553684083026084,0.6089037186635641,1057,0.5525070955534531,13.07852412488174,62,0.004771378046237989,-0.013432605640520526,-1.25684094192922,-2.3102967470340037,22777,NIFTY,2.1,0.0,20
-1.0579398103801272,-0.13362505066043148,0.5855029196118892,435,0.6045977011494252,30.577011494252872,150,0.008243670316113432,-0.02259854749061982,-0.43599497587181296,-1.2828698993769632,22777,NIFTY,2.1,0.0,50
-0.6261734219120211,-0.08550562763256517,0.5898055055538481,218,0.591743119266055,61.481651376146786,268,0.012837209739518267,-0.030346507302027453,0.17657206194951192,-1.2214111554320994,22777,NIFTY,2.1,0.0,100
-4.467719621986243,-0.3785685484918644,0.5314571717083022,2236,0.5348837209302325,5.413685152057245,39,0.002383713590855335,-0.008640202558865101,-2.552690549844405,-3.582198656712321,22777,NIFTY,2.1,0.3,10
-2.6386689072505862,-0.2549500182383063,0.5465162225051587,1173,0.5575447570332481,10.609548167092925,61,0.00399619633937149,-0.012302225580842128,-1.36169517604375,-2.409647494464361,22777,NIFTY,2.1,0.3,20
-1.1508393964960022,-0.13644308197926722,0.5277253369627256,479,0.5845511482254697,25.02087682672234,117,0.007031930841249533,-0.01889153318176219,-0.5796471626567761,-1.210827304964031,22777,NIFTY,2.1,0.3,50
