inst,pnl,bars,side
NIFTY,-0.030925957276829782,39,1.0
NIFTY,-0.012127483697021983,20,-1.0
NIFTY,-0.0003891037401257621,11,-1.0
NIFTY,-0.018898938223021924,18,1.0
NIFTY,0.002294457762769158,6,1.0
NIFTY,0.006044521436858844,3,1.0
NIFTY,0.00827912560342505,1,1.0
NIFTY,-0.002431605263689689,12,1.0
NIFTY,0.002684038542400664,1,1.0
NIFTY,-0.008590357010978026,13,-1.0
NIFTY,-0.003161082544599965,11,1.0
NIFTY,0.00275606251424104,7,-1.0
NIFTY,-0.045141240469395084,29,1.0
NIFTY,-0.015029199647019934,18,1.0
NIFTY,0.005823838873736684,1,1.0
NIFTY,0.005986628582463294,1,-1.0
NIFTY,-0.059226243449350055,32,-1.0
NIFTY,-0.011901162482303192,24,1.0
NIFTY,0.004721675951562411,1,1.0
NIFTY,-0.04079143282944523,35,-1.0
NIFTY,-0.0004305321902064235,10,1.0
NIFTY,0.0005511867881081488,11,-1.0
NIFTY,-0.0007288287057709585,14,1.0
NIFTY,-0.004391139840575496,14,1.0
NIFTY,-0.004118296277862925,18,-1.0
NIFTY,0.005785689524736608,1,1.0
NIFTY,-0.007954208509224792,17,1.0
NIFTY,0.004612676523415793,3,-1.0
NIFTY,0.0035058908368401157,9,-1.0
NIFTY,0.004147626669770792,1,1.0
NIFTY,0.0019555071800174584,2,-1.0
NIFTY,0.002067261080628636,8,1.0
NIFTY,-0.01885392246401182,23,-1.0
NIFTY,0.002798109024169049,4,1.0
NIFTY,-0.01749626838475601,21,-1.0
NIFTY,0.0015893470379126698,5,-1.0
NIFTY,0.0019158704671104149,4,-1.0
NIFTY,0.003573679323789823,4,1.0
NIFTY,0.004548835375306278,1,1.0
NIFTY,-0.0018616778541574205,10,-1.0
NIFTY,0.0035563666677960867,2,-1.0
NIFTY,0.0046085795325185065,2,1.0
NIFTY,-0.004208680460202976,14,1.0
NIFTY,-0.0013916746062890852,11,-1.0
NIFTY,-0.0034143589803562646,14,1.0
NIFTY,0.0027207960248989732,9,-1.0
NIFTY,0.0016330091937986648,12,1.0
NIFTY,-0.010859603057848378,16,-1.0
NIFTY,-0.016464349619217833,21,1.0
NIFTY,0.0029690464287394727,2,1.0
NIFTY,-0.0005282503961090106,11,-1.0
NIFTY,-0.002279299794049786,14,1.0
NIFTY,0.0018373935624539392,1,-1.0
NIFTY,-0.00172180569531156,9,1.0
NIFTY,0.0020725180484209194,7,-1.0
NIFTY,-0.004208836897467691,14,1.0
NIFTY,-0.01054699180835906,21,1.0
NIFTY,0.0020722174961396887,7,-1.0
NIFTY,-0.0014616586992661806,11,1.0
NIFTY,-0.0026022700186525767,14,-1.0
NIFTY,0.001975830208350393,5,1.0
NIFTY,-0.006961310837631606,13,1.0
NIFTY,0.003496205611399852,8,1.0
